codigo_ipress,anio,mes,_archivo,_registro,variable,anterior,actual,diferencia
00006213,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,912,CA_CAMAS,23.0,71.0,48.0
00006262,2023,11,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,28179,CA_CAMAS,0.0,15.0,15.0
00006262,2024,2,data\raw\Capacidad\ConsultaA_2024_v22.csv,40238,CA_CAMAS,15.0,0.0,-15.0
00006262,2024,6,data\raw\Capacidad\ConsultaA_2024_v22.csv,22494,CA_CAMAS,15.0,0.0,-15.0
00006270,2023,3,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,4690,CA_CAMAS,5.0,15.0,10.0
00006297,2022,6,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,19877,CA_CAMAS,10.0,0.0,-10.0
00006332,2020,8,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,22326,CA_CAMAS,0.0,10.0,10.0
00006502,2016,10,data\raw\Capacidad\ConsultaA_Recurso_Salud_2016_v1.csv,1304,CA_CAMAS,10.0,0.0,-10.0
00006502,2016,12,data\raw\Capacidad\ConsultaA_Recurso_Salud_2016_v1.csv,1305,CA_CAMAS,0.0,10.0,10.0
00006502,2020,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,8052,CA_CAMAS,10.0,20.0,10.0
00006502,2020,5,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,19784,CA_CAMAS,10.0,25.0,15.0
00006502,2021,3,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,6945,CA_CAMAS,25.0,52.0,27.0
00006529,2021,8,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,20773,CA_CAMAS,8.0,18.0,10.0
00006733,2020,5,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,19673,CA_CAMAS,87.0,0.0,-87.0
00006733,2020,6,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,19674,CA_CAMAS,0.0,113.0,113.0
00006733,2023,11,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,28812,CA_CAMAS,9.0,116.0,107.0
